,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Отношение к клиентам,Персонал,Время ожидания,Банкомат,Расположение,Ипотека,Кредит,График работы
14,1028972561,СберБанк,"Киевская ул., 3А, Брянск",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",53.215581,34.398801,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,88,90,92,78,,,,
15,1052399389,СберБанк,"Почтовая ул., 108, Брянск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-18:00, 'sun': выходной",53.342226,34.310784,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,80,81,56,58,,,,
16,6199076543,СберБанк,"просп. Ленина, 10Б, Брянск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",53.237014,34.358826,"4,3",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,,,,
17,1041435438,СберБанк,"Выставочная ул., 2, посёлок Мичуринский",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",53.274713,34.234642,"1,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,
18,92814075528,СберБанк,"Молодёжная ул., 1А, д. Добрунь",www.sberbank.ru,"'mon': выходной, 'tue': 09:00-13:00,13:30-16:05, 'wed': выходной, 'thu': 09:00-13:00,13:30-16:05, 'fri': выходной, 'sat': выходной, 'sun': выходной",53.190899,34.238389,"3,1",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,,,,
19,1122378814,СберБанк,"ул. Кирова, 43, Сельцо",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-18:00, 'sun': выходной",53.370995,34.105214,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",65,79,80,,,,,,
20,1098063558,СберБанк,"ул. П.М. Яшенина, 10, село Глинищево",www.sberbank.ru,"'mon': 08:45-13:00,13:30-16:40, 'tue': 08:45-13:00,13:30-16:40, 'wed': 08:45-13:00,13:30-16:40, 'thu': выходной, 'fri': 08:45-13:00,13:30-16:40, 'sat': 08:45-14:15, 'sun': выходной",53.301735,34.085855,"2,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,
21,1086728936,СберБанк,"Советская ул., 4, село Кокино",www.sberbank.ru,"'mon': 09:00-13:00,13:30-15:15, 'tue': выходной, 'wed': 09:00-13:00,13:30-15:15, 'thu': выходной, 'fri': 09:00-13:00,13:30-15:15, 'sat': 09:00-13:00,13:30-15:00, 'sun': выходной",53.157948,34.120628,"4,2",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,,,,
22,1001655423,СберБанк,"ул. Карла Маркса, 1, Фокино",www.sberbank.ru,"'mon': выходной, 'tue': 08:30-13:00,13:30-17:00, 'wed': 08:30-13:00,13:30-17:00, 'thu': 08:30-13:00,13:30-17:00, 'fri': 08:30-13:00,13:30-17:00, 'sat': 08:30-14:00, 'sun': выходной",53.415526,34.375220,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,
23,1056191036,СберБанк,"ул. Ломоносова, 1, рабочий посёлок Выгоничи",www.sberbank.ru,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 08:30-17:30, 'sun': выходной",53.103725,34.063594,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",100,100,100,,,,,,
