ID,name,city,address,opening_hours,lat,lon,rating,Обслуживание,Отношение к клиентам,Персонал,Время ожидания,Кредит,Банкомат,Расположение,Вклад
235143703797,СберБанк,Кудрово,"Европейский просп., 5, Кудрово","'mon': 10:30-20:00, 'tue': 10:30-20:00, 'wed': 10:30-20:00, 'thu': 10:30-20:00, 'fri': 10:30-20:00, 'sat': 10:30-20:00, 'sun': выходной",59.898748,30.511145,"4,5",73.0,74.0,79.0,49.0,,46.0,100.0,
28304591277,СберБанк,Кудрово,"Ленинградская ул., 3, Кудрово","'mon': 10:00-19:30, 'tue': 10:00-19:30, 'wed': 10:00-19:30, 'thu': 10:00-19:30, 'fri': 10:00-19:30, 'sat': 10:00-19:30, 'sun': выходной",59.912825,30.506193,"4,4",77.0,77.0,81.0,60.0,55.0,72.0,93.0,
13013577674,СберБанк,Вилючинск,"ул. Нахимова, 22, жилой район Рыбачий, Вилючинск","'mon': 10:45-14:00,15:00-18:30, 'tue': 10:45-14:00,15:00-18:30, 'wed': 10:45-14:00,15:00-18:30, 'thu': 10:45-14:00,15:00-18:30, 'fri': 10:45-14:00,15:00-18:30, 'sat': 10:45-14:00,15:00-18:30, 'sun': выходной",52.91861,158.51568,"4,0",,,,,,,,
1181876383,СберБанк,Вилючинск,"ул. Мира, 7Б, Вилючинск","'mon': 10:00-18:00, 'tue': 10:00-18:00, 'wed': 10:00-18:00, 'thu': 10:00-18:00, 'fri': 10:00-18:00, 'sat': 10:00-18:00, 'sun': выходной",52.93285,158.41035,"4,2",72.0,71.0,79.0,,,,,
1642324092,СберБанк,Красноуфимск,"Озёрная ул., 60, Красноуфимск","'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': выходной, 'sat': выходной, 'sun': выходной",56.612371,57.771718,"4,3",83.0,80.0,89.0,71.0,,,,
1027296249,СберБанк,Красноуфимск,"ул. Куйбышева, 13, Красноуфимск","'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-18:30, 'sat': 08:30-18:30, 'sun': выходной",56.620695,57.77184,"4,4",84.0,82.0,84.0,,,,,
1083215254,СберБанк,Кемь,"Пролетарский просп., 19, Кемь","'mon': 09:00-17:00, 'tue': 09:00-17:00, 'wed': 09:00-17:00, 'thu': 09:00-17:00, 'fri': 09:00-17:00, 'sat': 09:00-17:00, 'sun': выходной",64.955015,34.607282,"4,1",,,,,,,,
1036514982,СберБанк,Раменское,"ул. Михалевича, 39, стр. 24, Раменское","'mon': 08:30-19:30, 'tue': 08:30-19:30, 'wed': 08:30-19:30, 'thu': 08:30-19:30, 'fri': 08:30-19:30, 'sat': 08:30-19:30, 'sun': выходной",55.563444,38.24275,"4,6",70.0,70.0,75.0,57.0,60.0,77.0,58.0,
1207064020,СберБанк,Раменское,"ул. Гурьева, 1Б/2, Раменское","'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-18:30, 'sun': выходной",55.576698,38.239652,"4,7",82.0,81.0,83.0,77.0,,63.0,100.0,
1085516231,СберБанк,Раменское,"ул. Чугунова, 43, Раменское","'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-19:00, 'sun': выходной",55.580533,38.200955,"4,7",78.0,80.0,81.0,60.0,25.0,68.0,94.0,
1116915239,СберБанк,Раменское,"ул. Куйбышева, 39А, Раменское","'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-18:30, 'sun': выходной",55.564884,38.200756,"4,8",93.0,92.0,95.0,82.0,,54.0,100.0,
1164428776,СберБанк,Раменское,"Школьная ул., 3, посёлок совхоза Раменское","'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': 09:00-13:00,14:00-16:30, 'fri': 09:00-13:00,14:00-16:30, 'sat': 09:30-13:45, 'sun': выходной",55.552534,38.247987,"3,7",,,,,,,,
61886378874,СберБанк,Раменское,"ул. Михалевича, 39, Раменское","'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",55.563571,38.242676,"4,3",,,,,,,,
