ID,name,city,address,opening_hours,lat,lon,rating,Обслуживание,Отношение к клиентам,Персонал,Время ожидания,Кредит,Банкомат,Расположение,Вклад,load_time
164819686969,Альфа-Банк,Королёв,"просп. Космонавтов, 27Б, Королёв","'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",55.91352,37.868382,"4,4",59.0,56.0,67.0,55.0,46.0,51.0,68.0,55.0,2024-06-24 07:02:10
98563103458,Альфа-Банк,Елец,"ул. Мира, 133, Елец","'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",52.625513,38.50111,"4,4",84.0,81.0,85.0,92.0,,,,,2024-06-23 22:25:36
134295325323,Альфа-Банк,Рассказово,"Куйбышевский пр., 2Г, Рассказово","'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",52.654296,41.876225,"4,6",93.0,100.0,100.0,,,,,,2024-06-24 16:08:24
78629804860,Альфа-Банк,Магнитогорск,"просп. Ленина, 90, Магнитогорск","'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",53.399997,58.984783,"4,4",89.0,86.0,91.0,78.0,85.0,,,,2024-06-23 17:58:47
63671947314,Альфа-Банк,Магнитогорск,"просп. Карла Маркса, 179А, Магнитогорск","'mon': 09:00-20:00, 'tue': 09:00-19:00, 'wed': выходной, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",53.366579,58.979536,"4,5",78.0,76.0,78.0,80.0,71.0,,,,2024-06-23 17:58:47
1209698536,Альфа-Банк,Магнитогорск,"просп. Ленина, 51, Магнитогорск","'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': выходной, 'sun': выходной",53.418338,58.984917,"4,4",91.0,90.0,94.0,79.0,87.0,,,,2024-06-23 17:58:47
59590475978,Альфа-Банк,Тверь,"Трёхсвятская ул., 28, Тверь","'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-17:00, 'sun': выходной",56.857445,35.911133,"4,5",80.0,74.0,72.0,73.0,92.0,,,,2024-06-24 07:43:52
1571438836,Альфа-Банк,Тверь,"ул. Желябова, 3, Тверь","'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-17:00, 'sun': выходной",56.854931,35.908725,"4,3",64.0,66.0,69.0,46.0,77.0,63.0,78.0,,2024-06-24 07:43:52
174462262647,Альфа-Банк,Каменск-Шахтинский,"просп. Карла Маркса, 73, Каменск-Шахтинский","'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",48.320275,40.269264,"4,4",62.0,69.0,69.0,55.0,,,,,2024-06-23 23:19:56
92293402136,Альфа-Банк,Невинномысск,"ул. Гагарина, 70Б, Невинномысск","'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",44.624983,41.946428,"4,3",76.0,71.0,68.0,,,,,,2024-06-23 21:45:24
121955454975,Альфа-Банк,Сыктывкар,"Коммунистическая ул., 46, Сыктывкар","'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",61.663127,50.810554,"4,6",74.0,74.0,76.0,,,,,,2024-06-23 19:40:03
236569593098,Альфа-Банк,Можга,"Можгинская ул., 51, Можга","'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",56.443065,52.214612,"4,4",89.0,93.0,86.0,,,,,,2024-06-24 15:18:08
190695527356,Альфа-Банк,Борисоглебск,"ул. Свободы, 213, Борисоглебск","'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",51.367062,42.074276,"4,6",93.0,93.0,92.0,,,,,,2024-06-24 01:47:17
192554296468,Альфа-Банк,Нововоронеж,"ул. Космонавтов, 23, Нововоронеж","'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",51.314213,39.206818,"4,3",100.0,100.0,,,,,,,2024-06-24 06:13:30
18125535813,Альфа-Банк,Ухта,"просп. Ленина, 27, Ухта","'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",63.56428,53.67371,"4,3",85.0,85.0,83.0,57.0,,,,,2024-06-23 22:53:11
70312479388,Альфа-Банк,Петергоф,"Санкт-Петербургский просп., 29, Петергоф","'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",59.879019,29.917645,"4,3",71.0,79.0,79.0,72.0,,,,,2024-06-23 23:50:48
