city,address,rating,lat,lon
Астрахань,"пр. Воробьёва, 12, Астрахань","4,8",46.329093,48.049728
Астрахань,"просп. Бумажников, 4, Астрахань","4,4",46.417641,47.980771
Астрахань,"ул. Анри Барбюса, 17, Астрахань","4,2",46.362449,48.046222
Астрахань,"ул. Бабаевского, 39Г/2, Астрахань","4,4",46.399888,48.09717
Астрахань,"ул. Богдана Хмельницкого, 24/45, Астрахань","4,5",46.335277,48.018062
Астрахань,"ул. Дзержинского, 59А, Астрахань","4,5",46.349943,47.999303
Астрахань,"ул. Кирова, 30/49, Астрахань","4,4",46.346617,48.036876
Астрахань,"ул. Кирова, 41, Астрахань","4,7",46.343781,48.037789
Астрахань,"ул. Космонавта Комарова, 65Г, Астрахань","4,7",46.356848,48.118441
Астрахань,"ул. Куликова, 44А, Астрахань","4,5",46.355659,48.075217
Астрахань,"ул. Николая Островского, 152А, Астрахань","4,4",46.338078,48.067613
Астрахань,"ул. Победы, 48, Астрахань","4,5",46.353484,48.057716
Астрахань,"ул. Савушкина, 25, корп. 1, Астрахань","4,6",46.368809,48.049374
Астрахань,"ул. Савушкина, 51, Астрахань","4,5",46.358172,48.048346
Астрахань,"ул. Софьи Перовской, 84, Астрахань","4,7",46.346189,48.067957
Астрахань,"ул. Чалабяна, 19, Астрахань","4,4",46.346754,48.053664
Астрахань,"ул. Яблочкова, 1А, Астрахань","4,8",46.370992,48.079302
Астрахань,"ул. Яблочкова, 34, Астрахань","4,5",46.365671,48.069695
Ахтубинск,"ул. Гагарина, 18А, Ахтубинск","4,3",48.298251,46.155342
Ахтубинск,"ул. Щербакова, 7, Ахтубинск","4,5",48.279398,46.1678
Ачинск,"39, 3-й микрорайон, Ачинск","4,2",56.258314,90.487687
Ачинск,"6, 8-й микрорайон, Ачинск","4,3",56.269394,90.493316
Ачинск,"ул. Декабристов, 22, Ачинск","4,2",56.24537,90.474107
Ачинск,"ул. Кирова, 40А, Ачинск","4,5",56.302959,90.524312
Балаково,"Трнавская ул., 14, Балаково","4,7",52.018224,47.820744
Балаково,"Трнавская ул., 46, Балаково","4,6",52.027069,47.83647
Балаково,"ул. Комарова, 107, Балаково","4,6",52.007499,47.79738
Балаково,"ул. Ленина, 114, Балаково","4,8",52.023787,47.782452
Балаково,"ул. Ленина, 47, Балаково","4,6",52.034385,47.782804
Балахна,"ул. Горького, 28, Балахна","4,5",56.522034,43.550271
Балахна,"ул. Энгельса, 9, Балахна","4,6",56.490983,43.608348
Балашиха,"28, микрорайон Гагарина, Балашиха","4,4",55.823803,37.929172
Балашиха,"38, микрорайон Дзержинского, Балашиха","4,1",55.776586,37.900841
Балашиха,"Октябрьская ул., 33, микрорайон Железнодорожный, Балашиха","4,5",55.751502,37.998107
Балашиха,"Пролетарская ул., 5, микрорайон Железнодорожный, Балашиха","4,6",55.747983,38.009398
Балашиха,"Советская ул., 6/17, Балашиха","4,5",55.797523,37.934823
Балашиха,"Советская ул., 9, микрорайон Заря, Балашиха","4,6",55.75637,38.079709
Балашиха,"Юбилейная ул., 2, корп. 1, микрорайон Железнодорожный, Балашиха","4,6",55.741879,38.016395
Балашиха,"Южная ул., 3, стр. 1, микрорайон Кучино, Балашиха","4,3",55.749874,37.95277
Балашиха,"просп. Героев, 6, микрорайон Железнодорожный, Балашиха","4,6",55.741381,38.002073
Балашиха,"просп. Ленина, 47, Балашиха","4,7",55.797483,37.947552
Балашиха,"ул. 40 лет Победы, 1, Балашиха","4,5",55.814482,37.967361
Балашиха,"ул. Некрасова, 12, Балашиха","4,7",55.791747,37.971233
Балашиха,"ул. Объединения, 7/27, Балашиха","4,8",55.826385,37.970442
Балашов,"Привокзальная ул., 1, Балашов","4,5",51.535463,43.158793
Балашов,"ул. Володарского, 39, Балашов","4,6",51.554071,43.145307
Балашов,"ул. Гагарина, 59, Балашов","4,8",51.549191,43.149945
Балашов,"ул. Строителей, 9, Балашов","4,7",51.556022,43.208015
Балтийск,"Садовая ул., 6, Балтийск","4,5",54.655075,19.909642
Барабинск,"ул. Кирова, 14, Барабинск","4,4",55.348705,78.369811
Барабинск,"ул. Пушкина, 15А, Барабинск","4,2",55.349217,78.347882
Барнаул,"Балтийская ул., 39, Барнаул","4,6",53.334558,83.682025
Барнаул,"Комсомольский просп., 106А, Барнаул","4,6",53.349217,83.784663
Барнаул,"Красноармейский просп., 58А/1, Барнаул","4,5",53.337331,83.775287
Барнаул,"Павловский тракт, 132Б, Барнаул","4,7",53.344145,83.682596
Барнаул,"Павловский тракт, 297, Барнаул","4,8",53.345208,83.657272
Барнаул,"Северо-Западная ул., 159, Барнаул","4,7",53.35845,83.725558
Барнаул,"Северо-Западная ул., 54, Барнаул","4,3",53.371784,83.744958
Барнаул,"просп. Ленина, 167/2, Барнаул","4,4",53.375497,83.746406
Барнаул,"просп. Ленина, 1А, Барнаул","4,2",53.330538,83.795227
Барнаул,"просп. Ленина, 20, Барнаул","4,5",53.33628,83.790056
Барнаул,"просп. Ленина, 96Е, Барнаул","4,5",53.359635,83.765073
Барнаул,"просп. Строителей, 10, Барнаул","4,5",53.352635,83.765152
Барнаул,"ул. Антона Петрова, 144/65, Барнаул","4,5",53.356083,83.714265
Барнаул,"ул. Георгиева, 14В, Барнаул","4,6",53.351144,83.683044
Барнаул,"ул. Германа Титова, 17/27, Барнаул","4,4",53.382412,83.723591
Барнаул,"ул. Малахова, 128, Барнаул","4,5",53.344227,83.694921
Барнаул,"ул. Малахова, 64Б, Барнаул","4,6",53.365571,83.702692
Барнаул,"ул. Малахова, 77, Барнаул","4,5",53.358664,83.702858
Барнаул,"ул. Папанинцев, 205, Барнаул","4,3",53.334519,83.755755
Барнаул,"ул. Попова, 113, Барнаул","4,6",53.341807,83.671288
Барнаул,"ул. Попова, 73А, Барнаул","4,7",53.358747,83.675473
Барнаул,"ул. Шевченко, 52А, Барнаул","4,4",53.348253,83.779212
Барнаул,"ул. Юрина, 202В, Барнаул","4,6",53.370694,83.686582
Барнаул,"ул. Юрина, 305, Барнаул","4,4",53.373541,83.667466
Батайск,"14, микрорайон Авиагородок, Батайск","4,4",47.126417,39.782577
Батайск,"Рабочая ул., 77, Батайск","4,6",47.140227,39.746302
Батайск,"ул. Кирова, 34, Батайск","4,7",47.137874,39.746234
Батайск,"ул. Ленина, 168В, Батайск","4,5",47.117477,39.747038
Батайск,"ул. Луначарского, 180В, Батайск","4,8",47.132891,39.738275
Белгород,"Белгородский просп., 54, Белгород","4,5",50.60192,36.596174
Белгород,"Гражданский просп., 52, Белгород","4,7",50.595386,36.59158
Белгород,"Народный бул., 89, Белгород","4,6",50.601117,36.583483
Белгород,"бул. Юности, 10, Белгород","4,4",50.561495,36.56434
Белгород,"просп. Богдана Хмельницкого, 160, Белгород","4,4",50.638766,36.571625
Белгород,"ул. Апанасенко, 97, Белгород","4,4",50.583528,36.566402
Белгород,"ул. Будённого, 2А, Белгород","4,6",50.566861,36.558223
Белгород,"ул. Губкина, 17А, Белгород","4,4",50.566231,36.574065
Белгород,"ул. Железнякова, 18А, Белгород","4,6",50.632526,36.57621
Белгород,"ул. Князя Трубецкого, 24, Белгород","4,7",50.592671,36.59624
Белгород,"ул. Королёва, 2Г, Белгород","4,4",50.571962,36.574028
Белгород,"ул. Костюкова, 63, Белгород","4,7",50.577899,36.590183
Белгород,"ул. Мичурина, 31, Белгород","4,4",50.612605,36.589035
Белгород,"ул. Некрасова, 5Б/8, Белгород","4,7",50.615772,36.582561
Белгород,"ул. Победы, 124, Белгород","4,5",50.595197,36.574783
Белгород,"ул. Щорса, 64, Белгород","4,6",50.552289,36.568856
Белово,"Октябрьская ул., 51, Белово","4,6",54.412319,86.298967
Белово,"Цинкзаводской пер., 2, Белово","4,6",54.422542,86.304348
