city,address,rating,lat,lon
Абакан,"Абаканская ул., 48, Минусинск","4,3",53.694989,91.672778
Абакан,"ул. Пушкина, 100, Абакан","4,3",53.716857,91.435793
Абакан,"ул. Щетинкина, 63, Абакан","3,9",53.730619,91.440232
Алексин,"ул. Мира, 20, Алексин","4,2",54.503475,37.066232
Анапа,"Крымская ул., 172, Анапа","4,5",44.896912,37.323131
Анжеро-Судженск,"ул. Ленина, 22, Анжеро-Судженск","3,7",56.07888,86.018961
Армавир,"ул. Ленина, 101А, Армавир","4,9",44.999529,41.127371
Асбест,"просп. Ленина, 15, Асбест","4,0",57.013563,61.461689
Астрахань,"ул. Кирова, 12, Астрахань","4,5",46.351882,48.037023
Ачинск,"5/4, 28-й квартал, Ачинск","4,5",56.253212,90.474156
Балаково,"Трнавская ул., 23, Балаково","4,9",52.02397,47.828068
Балашиха,"Пролетарская ул., 2, корп. 2, микрорайон Железнодорожный, Балашиха","4,8",55.750282,38.006831
Балашиха,"ш. Энтузиастов, 7/1, Балашиха","4,3",55.795469,37.933977
Балашов,"ул. Ленина, 21, Балашов","4,1",51.550328,43.143146
Барановичи,"площадь Ленина, 1, корп. 3, Барановичи","4,2",53.132973,26.017888
Барнаул,"Красноармейский просп., 58Б, Барнаул","4,7",53.33771,83.775095
Барнаул,"Павловский тракт, 251А, Барнаул","4,8",53.342936,83.680396
Барнаул,"Социалистический просп., 130, Барнаул","4,7",53.34979,83.763669
Барнаул,"просп. Ленина, 106, Барнаул","4,6",53.365434,83.758926
Барнаул,"просп. Ленина, 58, Барнаул","4,4",53.348156,83.777548
Барнаул,"ул. Антона Петрова, 219Б, Барнаул","4,4",53.359055,83.697679
Белгород,"просп. Ватутина, 9Б, Белгород","4,3",50.574253,36.584196
Белгород,"просп. Славы, 68, Белгород","4,3",50.597507,36.589954
Белгород,"ул. Щорса, 8, Белгород","4,4",50.582702,36.566633
Белово,"Юбилейная ул., 8, Белово","2,6",54.41194,86.307752
Белогорск,"ул. Кирова, 119, Белогорск","2,2",50.92036,128.47929
Белореченск,"ул. Ленина, 145, Белореченск","4,3",44.766606,39.867034
Бердск,"ул. Ленина, 42, Бердск","4,3",54.761233,83.100605
Березники,"ул. Пятилетки, 50, Березники","4,9",59.405164,56.807311
Биробиджан,"ул. Шолом-Алейхема, 8, Биробиджан","3,9",48.78951,132.93405
Благовещенск,"ул. Островского, 12, Благовещенск","4,8",50.25870,127.53643
Богданович,"Спортивная ул., 2, Богданович","3,5",56.7712,62.052548
Богородицк,"ул. Коммунаров, 59, Богородицк","3,8",53.770338,38.131382
Борисоглебск,"ул. Свободы, 213, Борисоглебск","4,2",51.367062,42.074276
Боровичи,"ул. Подбельского, 36, Боровичи","4,3",58.393342,33.917789
Братск,"ул. Кирова, 18, Братск","4,3",56.15452,101.62493
Брянск,"Красноармейская ул., 41, Брянск","4,6",53.236825,34.350265
Великие Луки,"просп. Ленина, 39, Великие Луки","5,0",56.343558,30.521717
Великий Новгород,"Большая Санкт-Петербургская ул., 13, Великий Новгород","4,7",58.529619,31.270688
Верхняя Пышма,"Успенский просп., 20, Верхняя Пышма","4,2",56.974254,60.569051
Видное,"Школьная ул., 23, Видное","4,9",55.556467,37.708086
Владивосток,"Семёновская ул., 26, Владивосток","4,9",43.11795,131.88569
Владивосток,"Харьковская ул., 8, Владивосток","4,6",43.10160,131.90521
Владивосток,"просп. 100-летия Владивостока, 51, Владивосток","4,4",43.15414,131.90955
Владивосток,"просп. Острякова, 5Г, Владивосток","4,9",43.13026,131.90052
Владивосток,"ул. Адмирала Фокина, 19, Владивосток","4,3",43.11751,131.88377
Владикавказ,"ул. Генерала Плиева, 10, Владикавказ","4,0",43.020339,44.678052
Владимир,"просп. Ленина, 26, Владимир","4,4",56.120432,40.36771
Волгоград,"Комсомольская ул., 10, Волгоград","4,3",48.710177,44.521008
Волгоград,"Невская ул., 11А, Волгоград","4,5",48.717358,44.5081
Волгоград,"просп. Героев Сталинграда, 49, Волгоград","4,4",48.515627,44.536917
Волгоград,"просп. имени В.И. Ленина, 2, Волгоград","4,4",48.703773,44.512601
Волгоград,"ул. 8-й Воздушной Армии, 47Д, район Семь Ветров, Волгоград","4,6",48.756747,44.500303
Волгоград,"ул. Николая Отрады, 6, Волгоград","4,5",48.81476,44.624064
Волгодонск,"просп. Строителей, 21, Волгодонск","4,0",47.517634,42.198298
Волжск,"ул. Ленина, 56Б, Волжск","4,1",55.865162,48.361379
Волжский,"ул. Мира, 74А, Волжский","4,4",48.767472,44.807823
Вологда,"ул. Ленина, 5, Вологда","4,6",59.221211,39.893868
Волхов,"Молодёжная ул., 18, Волхов","4,0",59.893733,32.353103
Воронеж,"Кольцовская ул., 31, Воронеж","2,2",51.668468,39.193083
Воронеж,"Ленинский просп., 116А, Воронеж","4,6",51.670786,39.252326
Воронеж,"ул. Генерала Лизюкова, 50, Воронеж","4,4",51.706408,39.154033
Воронеж,"ул. Загоровского, 1, Воронеж","4,8",51.714042,39.191592
Воронеж,"ул. Кирова, 11, Воронеж","4,3",51.656584,39.19059
Воскресенск,"Октябрьская ул., 2, микрорайон Центральный, Воскресенск","4,3",55.322189,38.674341
Воткинск,"ул. 1 Мая, 102, Воткинск","4,1",57.060025,53.998818
Всеволожск,"Всеволожский просп., 29, Всеволожск","3,7",60.018569,30.646511
Выборг,"Вокзальная ул., 7, Выборг","4,3",60.712512,28.751919
Выкса,"ул. Островского, 33, Выкса","4,3",55.328576,42.16895
Гатчина,"просп. 25 Октября, 11/13, Гатчина","3,7",59.566956,30.121123
Геленджик,"Херсонская ул., 23, Геленджик","3,8",44.563055,38.080465
Георгиевск,"ул. Салогубова, 16, Георгиевск","4,4",44.129192,43.448698
Глазов,"ул. Кирова, 13, Глазов","4,5",58.140093,52.665863
Горно-Алтайск,"Коммунистический просп., 27, Горно-Алтайск","2,9",51.958504,85.954058
Городец,"Колхозная ул., 1, Городец","4,0",56.645366,43.471983
Грозный,"ул. Нурсултана Абишевича Назарбаева, 19Г, Грозный","4,1",43.331878,45.684876
Грязи,"ул. Революции 1905 года, 12/26, Грязи","4,0",52.492666,39.947623
Димитровград,"просп. Ленина, 39Г, Димитровград","5,0",54.238195,49.564779
Дмитров,"Загорская ул., 24, Дмитров",,56.342311,37.51838
Дмитров,"Профессиональная ул., 7, Дмитров",,56.352572,37.520518
Домодедово,"Каширское ш., 51, Домодедово","4,6",55.434482,37.767438
Егорьевск,"ул. 40 лет Октября, 25, Егорьевск",,55.391273,39.03718
Екатеринбург,"Белореченская ул., 12А, Екатеринбург","4,3",56.821026,60.56792
Екатеринбург,"Уральская ул., 75, Екатеринбург","4,4",56.853848,60.63802
Екатеринбург,"просп. Ленина, 60, Екатеринбург","4,3",56.841753,60.636884
Екатеринбург,"ул. 8 Марта, 10, Екатеринбург","4,2",56.833703,60.599694
Екатеринбург,"ул. 8 Марта, 194, Екатеринбург","4,3",56.801445,60.611282
Екатеринбург,"ул. Вильгельма де Геннина, 31, Екатеринбург","4,8",56.792404,60.521351
Екатеринбург,"ул. Горького, 7А, Екатеринбург","4,3",56.842758,60.605433
Екатеринбург,"ул. Крауля, 44, Екатеринбург","4,4",56.830478,60.56023
Екатеринбург,"ул. Кузнецова, 2, Екатеринбург","4,6",56.888033,60.610393
Екатеринбург,"ул. Машиностроителей, 19, Екатеринбург","4,4",56.885275,60.588743
Екатеринбург,"ул. Сони Морозовой, 190, Екатеринбург","4,4",56.832359,60.625583
Елабуга,"просп. Нефтяников, 17, Елабуга","4,3",55.751711,52.015886
Елизово,"ул. Завойко, 7, Елизово","4,1",53.18702,158.38389
Железногорск,"ул. Воинов-Интернационалистов, 6, Железногорск","4,4",52.35008,35.348464
Звенигород,"Нахабинское ш., 15А, Звенигород",,55.743522,36.860005
Зеленогорск,"ул. Ленина, 2, Зеленогорск",,56.111509,94.579188
