city,address,rating,lat,lon,true_row
Абакан,"Абаканская ул., 48, Минусинск","4,3",53.694989,91.672778,True
Абакан,"ул. Пушкина, 100, Абакан","4,3",53.716857,91.435793,True
Абакан,"ул. Щетинкина, 63, Абакан","3,9",53.730619,91.440232,True
Алексин,"ул. Мира, 20, Алексин","4,2",50.92036,37.066232,True
Анапа,"Крымская ул., 172, Анапа","4,5",50.92036,37.323131,True
Анжеро-Судженск,"ул. Ленина, 22, Анжеро-Судженск","3,7",50.92036,86.018961,True
Армавир,"ул. Ленина, 101А, Армавир","4,9",53.18702,41.127371,True
Асбест,"просп. Ленина, 15, Асбест","4,0",50.92036,61.461689,True
Астрахань,"ул. Кирова, 12, Астрахань","4,5",46.351882,48.037023,True
Ачинск,"5/4, 28-й квартал, Ачинск","4,5",50.92036,90.474156,True
Балаково,"Трнавская ул., 23, Балаково","4,9",50.92036,47.828068,True
Балашиха,"Пролетарская ул., 2, корп. 2, микрорайон Железнодорожный, Балашиха","4,8",55.750282,38.006831,True
Балашиха,"ш. Энтузиастов, 7/1, Балашиха","4,3",55.795469,37.933977,True
Балашов,"ул. Ленина, 21, Балашов","4,1",50.92036,43.143146,True
Барнаул,"Красноармейский просп., 58Б, Барнаул","4,7",53.33771,83.775095,True
Барнаул,"Павловский тракт, 251А, Барнаул","4,8",53.342936,83.680396,True
Барнаул,"Социалистический просп., 130, Барнаул","4,7",53.34979,83.763669,True
Барнаул,"просп. Ленина, 106, Барнаул","4,6",53.365434,83.758926,True
Барнаул,"просп. Ленина, 58, Барнаул","4,4",53.348156,83.777548,True
Барнаул,"ул. Антона Петрова, 219Б, Барнаул","4,4",53.359055,83.697679,True
Белгород,"просп. Ватутина, 9Б, Белгород","4,3",50.574253,36.584196,True
Белгород,"просп. Славы, 68, Белгород","4,3",50.597507,36.589954,True
Белгород,"ул. Щорса, 8, Белгород","4,4",50.582702,36.566633,True
Белово,"Юбилейная ул., 8, Белово","2,6",50.92036,86.307752,True
Белогорск,"ул. Кирова, 119, Белогорск","2,2",50.92036,128.47929,True
Белореченск,"ул. Ленина, 145, Белореченск","4,3",50.92036,39.867034,True
Бердск,"ул. Ленина, 42, Бердск","4,3",48.4754,83.100605,True
Березники,"ул. Пятилетки, 50, Березники","4,9",59.405164,56.807311,True
Благовещенск,"ул. Островского, 12, Благовещенск","4,8",50.92036,127.53643,True
Богданович,"Спортивная ул., 2, Богданович","3,5",50.92036,62.052548,True
Богородицк,"ул. Коммунаров, 59, Богородицк","3,8",50.92036,38.131382,True
Борисоглебск,"ул. Свободы, 213, Борисоглебск","4,2",50.92036,42.074276,True
Боровичи,"ул. Подбельского, 36, Боровичи","4,3",50.92036,33.917789,True
Братск,"ул. Кирова, 18, Братск","4,3",50.92036,101.62493,True
Брянск,"Красноармейская ул., 41, Брянск","4,6",50.92036,34.350265,True
Великие Луки,"просп. Ленина, 39, Великие Луки","5,0",50.92036,30.521717,True
Великий Новгород,"Большая Санкт-Петербургская ул., 13, Великий Новгород","4,7",50.92036,31.270688,True
Владивосток,"Семёновская ул., 26, Владивосток","4,9",43.11795,131.88569,True
Владивосток,"Харьковская ул., 8, Владивосток","4,6",43.1016,131.90521,True
Владивосток,"просп. 100-летия Владивостока, 51, Владивосток","4,4",43.15414,131.90955,True
Владивосток,"просп. Острякова, 5Г, Владивосток","4,9",43.13026,131.90052,True
Владивосток,"ул. Адмирала Фокина, 19, Владивосток","4,3",43.11751,131.88377,True
Владикавказ,"ул. Генерала Плиева, 10, Владикавказ","4,0",50.92036,44.678052,True
Владимир,"просп. Ленина, 26, Владимир","4,4",50.92036,40.36771,True
Волгоград,"Комсомольская ул., 10, Волгоград","4,3",48.710177,44.521008,True
Волгоград,"Невская ул., 11А, Волгоград","4,5",48.717358,44.5081,True
Волгоград,"просп. Героев Сталинграда, 49, Волгоград","4,4",48.515627,44.536917,True
Волгоград,"просп. имени В.И. Ленина, 2, Волгоград","4,4",48.703773,44.512601,True
Волгоград,"ул. 8-й Воздушной Армии, 47Д, район Семь Ветров, Волгоград","4,6",48.756747,44.500303,True
Волгоград,"ул. Николая Отрады, 6, Волгоград","4,5",48.81476,44.624064,True
Волгодонск,"просп. Строителей, 21, Волгодонск","4,0",50.92036,42.198298,True
Волжск,"ул. Ленина, 56Б, Волжск","4,1",55.865162,48.361379,True
Вологда,"ул. Ленина, 5, Вологда","4,6",50.92036,39.893868,True
Волхов,"Молодёжная ул., 18, Волхов","4,0",50.92036,32.353103,True
Воронеж,"Кольцовская ул., 31, Воронеж","2,2",51.668468,39.193083,True
Воронеж,"Ленинский просп., 116А, Воронеж","4,6",51.670786,39.252326,True
Воронеж,"ул. Генерала Лизюкова, 50, Воронеж","4,4",51.706408,39.154033,True
Воронеж,"ул. Загоровского, 1, Воронеж","4,8",51.714042,39.191592,True
Воронеж,"ул. Кирова, 11, Воронеж","4,3",51.656584,39.19059,True
Воскресенск,"Октябрьская ул., 2, микрорайон Центральный, Воскресенск","4,3",50.92036,38.674341,True
Воткинск,"ул. 1 Мая, 102, Воткинск","4,1",50.92036,53.998818,True
Выборг,"Вокзальная ул., 7, Выборг","4,3",50.92036,28.751919,True
Гатчина,"просп. 25 Октября, 11/13, Гатчина","3,7",50.92036,30.121123,True
Геленджик,"Херсонская ул., 23, Геленджик","3,8",50.92036,38.080465,True
Георгиевск,"ул. Салогубова, 16, Георгиевск","4,4",50.92036,43.448698,True
Глазов,"ул. Кирова, 13, Глазов","4,5",50.92036,52.665863,True
Горно-Алтайск,"Коммунистический просп., 27, Горно-Алтайск","2,9",50.92036,85.954058,True
Городец,"Колхозная ул., 1, Городец","4,0",53.18702,43.471983,True
Грязи,"ул. Революции 1905 года, 12/26, Грязи","4,0",50.92036,39.947623,True
Димитровград,"просп. Ленина, 39Г, Димитровград","5,0",50.92036,49.564779,True
Дмитров,"Загорская ул., 24, Дмитров",,56.342311,37.51838,True
Дмитров,"Профессиональная ул., 7, Дмитров",,56.352572,37.520518,True
Домодедово,"Каширское ш., 51, Домодедово","4,6",50.92036,37.767438,True
Егорьевск,"ул. 40 лет Октября, 25, Егорьевск",,50.92036,39.03718,True
Екатеринбург,"Белореченская ул., 12А, Екатеринбург","4,3",56.821026,60.56792,True
Екатеринбург,"Уральская ул., 75, Екатеринбург","4,4",56.853848,60.63802,True
Екатеринбург,"просп. Ленина, 60, Екатеринбург","4,3",56.841753,60.636884,True
Екатеринбург,"ул. 8 Марта, 10, Екатеринбург","4,2",56.833703,60.599694,True
Екатеринбург,"ул. 8 Марта, 194, Екатеринбург","4,3",56.801445,60.611282,True
Екатеринбург,"ул. Вильгельма де Геннина, 31, Екатеринбург","4,8",56.792404,60.521351,True
Екатеринбург,"ул. Горького, 7А, Екатеринбург","4,3",56.842758,60.605433,True
Екатеринбург,"ул. Крауля, 44, Екатеринбург","4,4",56.830478,60.56023,True
