,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,load_time
0,sberbank/191970733779,СберБанк,"Первомайская ул., 75, посёлок Рогатая Балка",www.sberbank.com,"'mon': выходной, 'tue': 08:00-16:30, 'wed': 08:00-16:30, 'thu': 08:00-16:30, 'fri': 08:00-16:30, 'sat': 08:00-12:45, 'sun': выходной, ",45.199562,43.043577,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,2024-07-30 06:45:46
1,sberbank/1600794742,СберБанк,"ул. Ленина, 112, село Донская Балка",www.sberbank.com,"'mon': 08:00-16:00, 'tue': 08:00-16:00, 'wed': 08:00-16:00, 'thu': 08:00-16:00, 'fri': 08:00-15:45, 'sat': выходной, 'sun': выходной, ",45.204608,42.879957,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,2024-07-30 06:45:46
2,sberbank/1056358031,СберБанк,"ул. Пушкина, 8, Светлоград",www.sberbank.com,"'mon': 08:00-18:00, 'tue': 08:00-18:00, 'wed': 08:00-18:00, 'thu': 08:00-18:00, 'fri': 08:00-18:00, 'sat': 08:00-12:00, 'sun': выходной, ",45.339116,42.848939,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",63,61,60,2024-07-30 06:45:46
3,sberbank/1627448057,СберБанк,"Красная ул., 9, посёлок Прикалаусский",www.sberbank.com,"'mon': выходной, 'tue': 08:00-16:00, 'wed': 08:00-16:00, 'thu': 08:00-16:00, 'fri': 08:00-16:00, 'sat': 08:00-12:45, 'sun': выходной, ",45.480116,42.809521,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,2024-07-30 06:45:46
4,sberbank/1106118649,СберБанк,"площадь Свободы, 43, село Константиновское",www.sberbank.com,"'mon': выходной, 'tue': 08:00-16:00, 'wed': 08:00-16:00, 'thu': 08:00-16:00, 'fri': 08:00-16:00, 'sat': 08:00-13:00, 'sun': выходной, ",45.295709,42.631806,"3,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,2024-07-30 06:45:46
5,sberbank/170871641136,СберБанк,"ул. Калинина, 80, село Малые Ягуры",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",45.443588,43.012243,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,2024-07-30 06:45:46
6,sberbank/1040887022,СберБанк,"ул. Мира, 55, село Просянка",www.sberbank.com,"'mon': 08:00-16:00, 'tue': выходной, 'wed': 08:00-16:00, 'thu': 08:00-16:00, 'fri': 08:00-15:45, 'sat': 08:00-15:00, 'sun': выходной, ",45.121896,42.847587,"4,4",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,2024-07-30 06:45:46
7,sberbank/1089437274,СберБанк,"Школьная ул., 1, село Сухая Буйвола",www.sberbank.com,"'mon': выходной, 'tue': 08:00-16:30, 'wed': 08:00-16:30, 'thu': 08:00-16:30, 'fri': 08:00-16:30, 'sat': 08:00-12:45, 'sun': выходной, ",45.153953,42.988815,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,2024-07-30 06:45:46
8,sberbank/1611057096,СберБанк,"Почтовая ул., 2, село Шведино",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': 08:00-15:00, 'sat': выходной, 'sun': выходной, ",45.414139,42.885070,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,2024-07-30 06:45:46
9,sberbank/1027291817,СберБанк,"площадь Свободы, 53, село Камбулат",www.sberbank.com,"'mon': 08:00-15:30, 'tue': 08:00-15:30, 'wed': 08:00-15:30, 'thu': выходной, 'fri': 08:00-15:30, 'sat': выходной, 'sun': выходной, ",45.382839,43.057159,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,2024-07-30 06:45:46
10,sberbank/80789378693,СберБанк,"Шоссейная ул., 26, село Николина Балка",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",45.464398,42.861874,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,2024-07-30 06:45:46
