,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,График работы,load_time
0,sberbank/1652596820,СберБанк,"ул. Чехова, 79, корп. 2, Чехов",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",55.142082,37.457304,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,65,62,92,50,2024-08-05 23:00:20
1,sberbank/1269745154,СберБанк,"Московская ул., 81, Чехов",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-16:30, 'sun': выходной, ",55.147649,37.457592,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,75,63,87,,2024-08-05 23:00:20
2,sberbank/152461627077,СберБанк,"Московский пр., 1А, Чехов",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.156780,37.461472,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,74,86,82,25,2024-08-05 23:00:20
3,sberbank/38389383833,СберБанк,"ул. Гагарина, 16, Чехов",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.168717,37.426779,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,67,50,91,,2024-08-05 23:00:20
4,sberbank/1006187938,СберБанк,"ул. Чехова, 2, стр. 1, Чехов",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:30, 'sun': выходной, ",55.147788,37.487361,"4,4",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],74,72,73,77,,2024-08-05 23:00:20
