,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Ремонт,load_time
0,sberbank/1122945483,СберБанк,"просп. Александра Невского, 31, Петрозаводск",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 10:00-15:00, 'sun': выходной, ",61.781440,34.385048,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,73,82,75,,2024-07-29 14:26:18
1,sberbank/1088078205,СберБанк,"просп. Ленина, 10, Петрозаводск",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': 10:00-18:30, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",61.791763,34.367710,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",85,77,,,,2024-07-29 14:26:18
2,sberbank/1006888060,СберБанк,"просп. Александра Невского, 73, Петрозаводск",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-17:00, 'sun': выходной, ",61.773714,34.360686,"4,5",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],81,67,23,,60,2024-07-29 14:26:18
3,sberbank/1030321872,СберБанк,"Красноармейская ул., 25, Петрозаводск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 10:00-14:00, 'sun': выходной, ",61.781516,34.350049,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,61,50,100,,2024-07-29 14:26:18
4,sberbank/1116165030,СберБанк,"Лососинское ш., 26, Петрозаводск",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:30-17:00, 'sun': 10:00-14:00, ",61.765526,34.315428,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",84,67,93,100,,2024-07-29 14:26:18
5,sberbank/1130619684,СберБанк,"ул. Чапаева, 44, Петрозаводск",www.sberbank.com,"'mon': 09:30-18:00, 'tue': 09:30-18:00, 'wed': 09:30-18:00, 'thu': 09:30-18:00, 'fri': 09:30-18:00, 'sat': 10:00-14:00, 'sun': выходной, ",61.783733,34.322489,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,70,90,92,,2024-07-29 14:26:18
6,sberbank/1045797204,СберБанк,"Ключевая ул., 14, Петрозаводск",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 10:00-15:00, 'sun': выходной, ",61.760180,34.438282,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,58,43,,,2024-07-29 14:26:18
7,sberbank/1040698426,СберБанк,"Первомайский просп., 30, Петрозаводск",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 10:00-15:00, 'sun': выходной, ",61.798553,34.330412,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,62,,,92,2024-07-29 14:26:18
8,sberbank/1073357809,СберБанк,"ул. Антикайнена, 2, Петрозаводск",www.sberbank.com,"'mon': 09:00-17:30, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': выходной, 'sun': выходной, ",61.781512,34.363785,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",92,55,,,,2024-07-29 14:26:18
9,sberbank/1055521505,СберБанк,"ул. Ровио, 15, Петрозаводск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 10:00-15:30, 'sun': выходной, ",61.762181,34.369435,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,76,58,100,,2024-07-29 14:26:18
