,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Отношение к клиентам,Персонал,load_time
0,43566203076,СберБанк,"ул. 40 лет Победы, 3, село Тарбагатай",www.sberbank.ru,"'mon': 09:00-13:00,14:00-16:30, 'tue': 09:00-13:00,14:00-16:30, 'wed': выходной, 'thu': выходной, 'fri': 09:00-13:00,14:00-16:30, 'sat': выходной, 'sun': выходной",C51.17956,109.09802,"3,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,2024-06-23 00:56:02
1,85396781417,СберБанк,"Спортивная ул., 26, Петровск-Забайкальский",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",C51.25332,108.81674,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,87,93,2024-06-23 00:56:02
2,169775237805,СберБанк,"Шоссейная ул., 3, село Баляга",www.sberbank.ru,"'mon': 09:00-14:00,15:00-17:45, 'tue': 09:00-14:00,15:00-16:45, 'wed': 09:00-14:00,15:00-16:45, 'thu': 09:00-14:00,15:00-16:45, 'fri': 09:00-14:00,15:00-16:45, 'sat': выходной, 'sun': выходной",C51.17015,108.90161,,['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,2024-06-23 00:56:02
3,178747403881,СберБанк,"Спортивная ул., 26, Петровск-Забайкальский",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",C51.25328,108.81627,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,2024-06-23 00:56:02
