,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Расположение,Кредит,Банкомат,Ипотека,График работы,Ремонт,load_time
10,sberbank/1031450911,СберБанк,"ул. Гурьянова, 57/2, Калуга",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:00-15:30, 'sun': выходной, ",54.567477,36.228813,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank', 'https://youtube.com/user/Sberbank']",82,65,100,,72,,,,2024-07-29 03:06:48
11,sberbank/1066495642,СберБанк,"ул. Луначарского, 9/2, Калуга",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",54.509993,36.263029,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,74,,,50,,,,2024-07-29 03:06:48
12,sberbank/1017795707,СберБанк,"ул. Кутузова, 15, Калуга",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",54.505011,36.256814,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,86,91,,70,,,,2024-07-29 03:06:48
13,sberbank/1119029077,СберБанк,"ул. Валентины Никитиной, 41, Калуга",www.sberbank.com,"'mon': выходной, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",54.548134,36.296878,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",93,40,,,19,,,,2024-07-29 03:06:48
14,sberbank/1063893965,СберБанк,"Ольговская ул., 13, Калуга",www.sberbank.com,"'mon': 09:00-17:45, 'tue': 09:00-17:45, 'wed': 09:00-17:45, 'thu': 09:00-17:45, 'fri': 09:00-17:45, 'sat': выходной, 'sun': выходной, ",54.570515,36.311934,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,40,,,,,,,2024-07-29 03:06:48
15,sberbank/1128791991,СберБанк,"ул. Льва Толстого, 55, микрорайон Турынино, Калуга",www.sberbank.com,"'mon': выходной, 'tue': 09:10-18:10, 'wed': 09:10-18:10, 'thu': 09:10-18:10, 'fri': 09:10-18:10, 'sat': 10:00-16:15, 'sun': выходной, ",54.514112,36.351603,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",69,43,,,60,,,,2024-07-29 03:06:48
16,sberbank/1013078241,СберБанк,"Школьная ул., 12, посёлок Воротынск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",54.470279,36.036789,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,50,,,50,,,,2024-07-29 03:06:48
17,sberbank/198608057833,СберБанк,"ул. Мира, 1А, микрорайон Куровской, Калуга",www.sberbank.com,"'mon': 08:45-17:30, 'tue': 08:45-17:30, 'wed': 08:45-17:30, 'thu': 09:00-17:00, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",54.528117,36.019290,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-07-29 03:06:48
18,sberbank/144018717837,СберБанк,"ул. Ленина, 24, п. г. т. Товарково",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:30, 'sun': выходной, ",54.676969,35.943714,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-07-29 03:06:48
19,sberbank/1012189430,СберБанк,"Крестьянская ул., 4, село Льва Толстого",www.sberbank.com,"'mon': выходной, 'tue': 08:30-16:30, 'wed': 08:30-16:30, 'thu': 08:30-16:30, 'fri': 08:30-16:30, 'sat': 08:30-13:15, 'sun': выходной, ",54.606173,36.037400,"3,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-07-29 03:06:48
20,sberbank/1046848743,СберБанк,"ул. Комарова, 21, посёлок Пятовский",www.sberbank.com,"'mon': 09:00-16:15, 'tue': выходной, 'wed': 09:00-16:15, 'thu': выходной, 'fri': 08:45-15:45, 'sat': выходной, 'sun': выходной, ",54.688514,36.063217,"3,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-07-29 03:06:48
21,sberbank/1218563353,СберБанк,"Центральная ул., 21, д. Бебелево",www.sberbank.com,"'mon': 09:00-15:15, 'tue': выходной, 'wed': 09:00-13:33, 'thu': выходной, 'fri': 09:00-15:15, 'sat': выходной, 'sun': выходной, ",54.529172,36.495289,"2,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-07-29 03:06:48
