,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,График работы,Ремонт,load_time
0,sberbank/1267001409,СберБанк,"Платовский просп., 59Б, Новочеркасск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-16:00, 'sun': выходной, ",47.410571,40.102519,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,65,64,,,,2024-07-29 12:24:44
1,sberbank/145453778478,СберБанк,"просп. Ермака, 82, Новочеркасск",www.sberbank.com,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной, ",47.418339,40.102034,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,67,86,100,50,,2024-07-29 12:24:44
2,sberbank/1203005465,СберБанк,"Платовский просп., 71, Новочеркасск",www.sberbank.com,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 08:30-14:00, 'sun': выходной, ",47.407497,40.092952,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",74,60,84,100,,,2024-07-29 12:24:44
3,sberbank/94348088458,СберБанк,"Баклановский просп., 140А, Новочеркасск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",47.422753,40.060891,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",73,48,,100,,,2024-07-29 12:24:44
4,sberbank/1025765377,СберБанк,"Ровная ул., 1, Новочеркасск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",47.489907,40.095521,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,57,68,70,,,2024-07-29 12:24:44
5,sberbank/3185550647,СберБанк,"Платовский просп., 59Б, Новочеркасск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",47.410571,40.102519,"4,6",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,,2024-07-29 12:24:44
6,sberbank/1035726810,СберБанк,"Привокзальная ул., 12, Новочеркасск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",47.478179,40.069470,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,71,,,,,2024-07-29 12:24:44
7,sberbank/1106697389,СберБанк,"Школьная ул., 48, станица Кривянская",www.sberbank.com,"'mon': выходной, 'tue': 08:00-16:30, 'wed': 08:00-16:30, 'thu': 08:00-16:30, 'fri': 08:00-16:30, 'sat': 08:00-12:00, 'sun': выходной, ",47.397919,40.167884,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-07-29 12:24:44
8,sberbank/1085902162,СберБанк,"ул. Визирова, 9/2, Новочеркасск",www.sberbank.com,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной, ",47.484701,40.061690,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",74,67,7,,,,2024-07-29 12:24:44
9,sberbank/1030709590,СберБанк,"ул. Николаевой-Терешковой, 5, Новочеркасск",www.sberbank.com,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной, ",47.409345,40.255107,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-07-29 12:24:44
10,sberbank/1032503413,СберБанк,"ул. Мира, 19, посёлок Персиановский",www.sberbank.com,"'mon': выходной, 'tue': 08:00-16:45, 'wed': 08:00-16:45, 'thu': 08:00-16:45, 'fri': 08:00-16:45, 'sat': 08:00-13:00, 'sun': выходной, ",47.517007,40.110172,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-07-29 12:24:44
11,sberbank/220139300161,СберБанк,"просп. 40-летия Победы, 79, Ростов-на-Дону",www.sberbank.com,"'mon': 08:30-19:00, 'tue': 08:30-19:00, 'wed': 08:30-19:00, 'thu': 08:30-19:00, 'fri': 08:30-19:00, 'sat': 08:30-16:00, 'sun': выходной, ",47.238520,39.823754,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,55,50,92,,67,2024-07-29 12:24:44
12,sberbank/1225488110,СберБанк,"просп. Ленина, 18, Аксай",www.sberbank.com,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 08:30-15:30, 'sun': выходной, ",47.264240,39.859533,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",72,43,43,91,36,,2024-07-29 12:24:44
13,sberbank/49033083391,СберБанк,"Институтская ул., 13, посёлок Рассвет",www.sberbank.com,"'mon': выходной, 'tue': 08:30-17:00, 'wed': 08:30-17:00, 'thu': 08:30-17:00, 'fri': 08:30-17:00, 'sat': 08:30-15:30, 'sun': выходной, ",47.365060,39.891559,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-07-29 12:24:44
14,sberbank/1524913852,СберБанк,"ул. Подройкина, 6, станица Багаевская",www.sberbank.com,"'mon': 08:00-16:00, 'tue': 08:00-16:00, 'wed': 08:00-16:00, 'thu': 08:00-16:00, 'fri': 08:00-16:00, 'sat': 08:00-13:00, 'sun': выходной, ",47.325697,40.368358,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",69,54,,,,,2024-07-29 12:24:44
15,sberbank/20278299958,СберБанк,"Советская ул., 265А, станица Грушевская",www.sberbank.ru,"'mon': выходной, 'tue': 08:30-13:45, 'wed': 08:30-13:45, 'thu': 08:30-13:45, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",47.439163,39.960963,"4,0",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,,2024-07-29 12:24:44
16,sberbank/1104120108,СберБанк,"ул. Дзержинского, 1Д, Аксай",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",47.264454,39.864439,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",75,64,,,,0,2024-07-29 12:24:44
17,sberbank/1139689407,СберБанк,"Российская ул., 7, посёлок Казачьи Лагери",www.sberbank.com,"'mon': выходной, 'tue': 08:00-16:30, 'wed': 08:00-16:30, 'thu': 08:00-16:30, 'fri': 08:00-16:30, 'sat': 08:00-14:00, 'sun': выходной, ",47.555113,40.120243,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-07-29 12:24:44
18,sberbank/1096621826,СберБанк,"ул. Горького, 20, посёлок Октябрьский",www.sberbank.com,"'mon': 08:00-15:00, 'tue': 08:00-15:00, 'wed': выходной, 'thu': 08:00-15:00, 'fri': 08:00-15:00, 'sat': выходной, 'sun': выходной, ",47.401435,39.834776,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-07-29 12:24:44
19,sberbank/1009452847,СберБанк,"Советская ул., 41, слобода Красюковская",www.sberbank.com,"'mon': выходной, 'tue': 08:00-16:15, 'wed': 08:00-16:15, 'thu': 08:00-16:15, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",47.527662,40.089331,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-07-29 12:24:44
20,sberbank/1226734007,СберБанк,"Школьная ул., 6, станица Заплавская",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': 08:00-16:33, 'thu': выходной, 'fri': 08:00-17:00, 'sat': выходной, 'sun': выходной, ",47.411736,40.301738,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-07-29 12:24:44
21,sberbank/1051396111,СберБанк,"Советская ул., 38, станица Бессергеневская",www.sberbank.ru,"'mon': выходной, 'tue': 09:15-15:48, 'wed': выходной, 'thu': 09:15-15:00, 'fri': выходной, 'sat': 09:15-16:00, 'sun': выходной, ",47.400460,40.337940,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-07-29 12:24:44
22,sberbank/1072965493,СберБанк,"Школьная ул., 13, посёлок Верхнегрушевский",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': 08:00-17:15, 'sat': выходной, 'sun': выходной, ",47.593994,40.151737,"2,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-07-29 12:24:44
