,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Ипотека,load_time
0,sberbank/1598394418,СберБанк,"просп. М. Омарова, 1А, Каспийск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 08:00-18:00, 'fri': выходной, 'sat': 08:30-16:00, 'sun': выходной, ",42.897485,47.622254,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,64,69,96,,2024-08-05 03:37:38
1,sberbank/227941805067,СберБанк,"ул. Ленина, 52Ж, Каспийск",www.sberbank.com,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной, ",42.895801,47.630652,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",75,62,76,100,,2024-08-05 03:37:38
2,sberbank/1210504858,СберБанк,"просп. Петра I, 129, Махачкала",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-16:00, 'sun': выходной, ",42.960038,47.552149,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,51,53,100,,2024-08-05 03:37:38
3,sberbank/1166052814,СберБанк,"просп. Имама Шамиля, 66, Махачкала",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",42.963145,47.499184,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,58,,90,42,2024-08-05 03:37:38
4,sberbank/1212211900,СберБанк,"просп. Амет-Хана Султана, 15, Махачкала",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",42.947791,47.506595,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,92,,,,2024-08-05 03:37:38
5,sberbank/1557968867,СберБанк,"просп. Имама Шамиля, 80, Махачкала",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:30, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",42.956198,47.509883,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",70,68,63,100,,2024-08-05 03:37:38
6,sberbank/176785136366,Сбербанк,"просп. Гамидова, 18А, Махачкала",,"'mon': 09:00-21:00, 'tue': 09:00-21:00, 'wed': 09:00-21:00, 'thu': 09:00-21:00, 'fri': 09:00-21:00, 'sat': 09:00-21:00, 'sun': 09:00-21:00, ",42.966022,47.515542,"4,2",['900Показать телефон'],['https://vk.com/sberbank'],,,,,,2024-08-05 03:37:38
7,sberbank/95747400614,СберБанк,"ул. Ирчи Казака, 101, Махачкала",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",42.957346,47.517618,"4,2",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,2024-08-05 03:37:38
8,sberbank/112412347875,СберБанк,"просп. Амет-Хана Султана, 15, Махачкала",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",42.947700,47.506415,"4,3",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,2024-08-05 03:37:38
9,sberbank/1268216090,СберБанк,"просп. Расула Гамзатова, 64, Махачкала",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': выходной, 'sat': 09:00-18:00, 'sun': выходной, ",42.976478,47.516046,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",80,47,,100,,2024-08-05 03:37:38
10,sberbank/157960063536,СберБанк,"ул. Коркмасова, 17, Махачкала",,"'mon': выходной, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': выходной, 'sat': 09:00-16:00, 'sun': выходной, ",42.982433,47.497872,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,50,68,,,2024-08-05 03:37:38
