,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Кредит,Ипотека,График работы,load_time
0,sberbank/1128744648,СберБанк,"ул. Калинина, 113, Таганрог",www.sberbank.ru,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 09:00-13:00, 'sun': выходной, ",47.240527,38.882401,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,53,58,94,,,,2024-08-05 19:37:22
1,sberbank/11123991268,СберБанк,"ул. Сергея Шило, 206, Таганрог",www.sberbank.ru,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:00-17:30, 'fri': 08:00-17:00, 'sat': 09:00-14:30, 'sun': выходной, ",47.221784,38.859269,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,73,89,100,,,,2024-08-05 19:37:22
2,sberbank/1024331741,СберБанк,"Октябрьская ул., 39, Таганрог",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:00, 'sun': выходной, ",47.219973,38.912288,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",78,68,71,48,47,64,,2024-08-05 19:37:22
3,sberbank/1182576222,СберБанк,"ул. Чехова, 357, Таганрог",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:00, 'sun': выходной, ",47.217708,38.856025,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",93,73,67,97,,,73,2024-08-05 19:37:22
4,sberbank/1065264908,СберБанк,"ул. Чехова, 128-1, Таганрог",www.sberbank.ru,"'mon': 08:30-17:00, 'tue': 08:30-17:00, 'wed': 08:30-17:00, 'thu': 08:30-17:00, 'fri': 08:30-17:00, 'sat': 08:30-14:30, 'sun': выходной, ",47.213828,38.912916,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",96,89,96,95,,,,2024-08-05 19:37:22
5,sberbank/1063175270,СберБанк,"ул. Дзержинского, 165-8, Таганрог",www.sberbank.ru,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 09:00-15:00, 'sun': выходной, ",47.253458,38.917462,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,78,68,100,,,36,2024-08-05 19:37:22
6,sberbank/1257854498,СберБанк,"ул. Москатова, 15, Таганрог",www.sberbank.ru,"'mon': 08:00-17:30, 'tue': 08:00-17:30, 'wed': 08:00-17:30, 'thu': 08:00-17:30, 'fri': 08:00-17:30, 'sat': 08:30-14:30, 'sun': выходной, ",47.262259,38.919797,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,56,38,92,,,,2024-08-05 19:37:22
7,sberbank/192941804713,СберБанк,"ул. Фрунзе, 78, Таганрог",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-16:00, 'sun': выходной, ",47.218443,38.921243,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",73,31,33,92,,,,2024-08-05 19:37:22
8,sberbank/1219807144,СберБанк,"ул. Свободы, 17, Таганрог",www.sberbank.ru,"'mon': выходной, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-16:00, 'sun': выходной, ",47.207407,38.891653,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,67,78,100,,,,2024-08-05 19:37:22
9,sberbank/1336201369,СберБанк,"Петровская ул., 76, Таганрог",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-15:00, 'sun': выходной, ",47.214201,38.931421,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,81,70,88,,,,2024-08-05 19:37:22
10,sberbank/1084888173,СберБанк,"7-й Новый пер., 79А, Таганрог",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",47.276328,38.905200,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,83,77,90,,,43,2024-08-05 19:37:22
