,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Кредит,Ипотека,load_time
0,sberbank/1066562940,СберБанк,"просп. Ленина, 23, Саранск",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",54.189593,45.188502,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",75,47,53,92,,,2024-08-05 17:21:46
1,sberbank/1105607364,СберБанк,"Пролетарская ул., 83, Саранск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",54.191864,45.178117,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",73,54,,100,,,2024-08-05 17:21:46
2,sberbank/1009199910,СберБанк,"просп. 70 лет Октября, 86, Саранск",www.sberbank.ru,"'mon': 08:30-19:00, 'tue': 08:30-19:00, 'wed': 08:30-19:00, 'thu': 08:30-19:00, 'fri': 08:30-19:00, 'sat': 09:00-16:00, 'sun': выходной, ",54.193107,45.227389,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",81,63,83,88,57,53,2024-08-05 17:21:46
3,sberbank/1098060860,СберБанк,"Коммунистическая ул., 73, Саранск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",54.185035,45.175332,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,57,,,,,2024-08-05 17:21:46
4,sberbank/1047525898,СберБанк,"Коммунистическая ул., 32, Саранск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",54.183886,45.187110,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",70,60,,,,,2024-08-05 17:21:46
5,sberbank/110809855974,СберБанк,"просп. 50 лет Октября, 1, Саранск",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",54.171487,45.151401,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sber']",83,52,86,100,,,2024-08-05 17:21:46
6,sberbank/1064283542,СберБанк,"ул. Веселовского, 45, Саранск",www.sberbank.ru,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:00-15:00, 'sun': выходной, ",54.225501,45.127192,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,68,88,90,,,2024-08-05 17:21:46
7,sberbank/1127075533,СберБанк,"ул. Воинова, 17, Саранск",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",54.215873,45.116942,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,50,50,,,,2024-08-05 17:21:46
8,sberbank/1054725674,СберБанк,"просп. 60 лет Октября, 83, Саранск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",54.221411,45.133265,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,60,,,,,2024-08-05 17:21:46
9,sberbank/1080741092,СберБанк,"ул. Ульянова, 97, Саранск",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",54.170518,45.129653,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",92,64,71,100,,,2024-08-05 17:21:46
10,sberbank/1065732801,СберБанк,"ул. Сущинского, 24А, Саранск",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-15:00, 'sun': выходной, ",54.201132,45.239180,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,54,46,,,,2024-08-05 17:21:46
11,sberbank/68209152693,СберБанк,"Октябрьская ул., 17А, рабочий посёлок Луховка",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",54.147009,45.252390,"3,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-08-05 17:21:46
12,sberbank/1101527706,СберБанк,"ул. Ленина, 40, село Лямбирь",www.sberbank.ru,"'mon': 08:30-16:30, 'tue': 08:30-16:30, 'wed': 08:30-16:30, 'thu': 08:30-16:30, 'fri': 08:30-16:30, 'sat': выходной, 'sun': выходной, ",54.293446,45.115523,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-08-05 17:21:46
13,sberbank/1039984204,СберБанк,"ул. Мичурина, 9, рабочий посёлок Ялга",www.sberbank.ru,"'mon': 08:15-16:00, 'tue': 08:15-16:00, 'wed': 08:15-16:00, 'thu': 08:15-16:00, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",54.127043,45.130947,"3,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-08-05 17:21:46
14,sberbank/1080378756,СберБанк,"Фабричная ул., 21, село Большая Елховка",www.sberbank.ru,"'mon': 08:45-16:30, 'tue': 08:45-16:30, 'wed': 08:45-16:00, 'thu': 08:45-16:00, 'fri': 08:45-16:00, 'sat': выходной, 'sun': выходной, ",54.279181,45.327346,"3,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-08-05 17:21:46
15,sberbank/1036263005,СберБанк,"ул. Долганова, 1, село Александровка",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",54.270554,45.256675,"1,9",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,,2024-08-05 17:21:46
16,sberbank/167462678573,СберБанк,"Центральная ул., 73, село Атемар",,"'mon': 08:30-16:00, 'tue': 08:30-16:00, 'wed': 08:30-16:00, 'thu': 08:30-16:00, 'fri': 08:30-16:00, 'sat': выходной, 'sun': выходной, ",54.189661,45.408912,"3,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-08-05 17:21:46
