,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,load_time
0,sberbank/199627302409,СберБанк,"ул. Ленина, 17, рабочий посёлок Константиновский",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",57.830283,39.590335,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,2024-08-06 08:09:53
1,sberbank/1118124301,СберБанк,"2-я Овражная ул., 29, Тутаев",www.sberbank.ru,"'mon': выходной, 'tue': 08:00-17:00, 'wed': 08:00-17:00, 'thu': 08:00-17:00, 'fri': 08:00-17:00, 'sat': 08:30-13:45, 'sun': выходной, ",57.885670,39.536617,"3,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,2024-08-06 08:09:53
2,sberbank/1026603376,СберБанк,"Советская ул., 41, Тутаев",,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 08:30-15:00, 'sun': выходной, ",57.859172,39.510152,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,58,58,2024-08-06 08:09:53
