,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,График работы,load_time
14,sberbank/1043669713,СберБанк,"Первомайская ул., 3, п. г. т. Грицовский",www.sberbank.ru,"'mon': выходной, 'tue': 08:30-18:45, 'wed': 08:30-18:45, 'thu': выходной, 'fri': 08:30-18:45, 'sat': 08:30-16:45, 'sun': выходной, ",54.136787,38.159795,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-05 11:54:13
15,sberbank/1000888016,СберБанк,"Клубная ул., 1, сельский посёлок Каменецкий",,"'mon': выходной, 'tue': выходной, 'wed': 09:00-17:00, 'thu': выходной, 'fri': 09:00-17:00, 'sat': выходной, 'sun': выходной, ",54.011771,38.221133,"1,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-05 11:54:13
16,sberbank/1068733538,СберБанк,"ул. Дружбы, 5, сельский посёлок Майский",,"'mon': выходной, 'tue': 08:30-17:00, 'wed': выходной, 'thu': 08:30-17:00, 'fri': выходной, 'sat': 09:30-15:45, 'sun': выходной, ",53.963844,38.215366,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-05 11:54:13
17,sberbank/1115600068,СберБанк,"ул. Кирова, 6, сельский посёлок Брусянский",,"'mon': выходной, 'tue': 09:00-16:40, 'wed': выходной, 'thu': 09:00-16:40, 'fri': выходной, 'sat': 09:00-16:40, 'sun': выходной, ",53.992698,38.092198,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-05 11:54:13
18,sberbank/1093140805,СберБанк,"ул. 10-й Армии, 2/9, микрорайон Руднев, Донской",,"'mon': выходной, 'tue': 08:30-16:30, 'wed': выходной, 'thu': 08:30-16:30, 'fri': выходной, 'sat': 08:30-15:30, 'sun': выходной, ",53.935379,38.411207,"3,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-05 11:54:13
19,sberbank/1029943096,СберБанк,"ул. Менделеева, 2, рабочий посёлок Шварцевский",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': 09:30-17:45, 'thu': 09:30-17:45, 'fri': 09:30-17:45, 'sat': 09:30-15:00, 'sun': выходной, ",54.087574,37.998817,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",100,,0,,2024-08-05 11:54:13
20,sberbank/1048548160,СберБанк,"ул. Льва Толстого, 18, сельский посёлок Партизан",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': 08:30-16:45, 'thu': выходной, 'fri': 08:30-16:45, 'sat': выходной, 'sun': выходной, ",53.948989,38.097030,"3,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-05 11:54:13
21,sberbank/1206156710,СберБанк,"ул. Новики, 22, село Гремячее",,"'mon': выходной, 'tue': 08:15-16:00, 'wed': 08:15-16:00, 'thu': выходной, 'fri': 08:15-16:00, 'sat': 08:15-13:04, 'sun': выходной, ",54.143075,38.662762,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-05 11:54:13
22,sberbank/1014183287,СберБанк,"Советская ул., 2, сельский посёлок Дубовка",,"'mon': выходной, 'tue': 08:45-18:30, 'wed': 08:45-18:30, 'thu': выходной, 'fri': 08:45-18:30, 'sat': 09:00-18:15, 'sun': выходной, ",53.924124,38.107127,"3,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-05 11:54:13
23,sberbank/1063637581,СберБанк,"ул. Кирова, 4, посёлок Октябрьский",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': 09:00-15:00, 'thu': 09:00-15:00, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",53.962716,37.976269,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-05 11:54:13
