,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,График работы,Ипотека,load_time
0,sberbank/1067372798,СберБанк,"ул. Карла Маркса, 38, Мурманск",,"'mon': 10:30-19:00, 'tue': 10:30-19:00, 'wed': 10:30-19:00, 'thu': 10:30-19:00, 'fri': 10:30-19:00, 'sat': 10:30-16:00, 'sun': выходной, ",68.968559,33.099837,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,69,72,94,,,2024-08-05 10:04:13
1,sberbank/1093592477,СберБанк,"ул. Воровского, 4/22, Мурманск",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 10:00-16:00, 'sun': выходной, ",68.971139,33.072771,"4,2",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",79,56,50,93,,,2024-08-05 10:04:13
2,sberbank/39713767434,СберБанк,"просп. Ленина, 92, Мурманск",,"'mon': 09:45-18:00, 'tue': 09:45-18:00, 'wed': 09:45-18:00, 'thu': 09:45-18:00, 'fri': 09:45-18:00, 'sat': выходной, 'sun': выходной, ",68.974328,33.087404,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,81,20,,30,,2024-08-05 10:04:13
3,sberbank/1126656875,СберБанк,"просп. Ленина, 23/1, Мурманск",,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': 10:00-16:30, 'sun': выходной, ",68.953857,33.080038,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",85,69,,94,,86,2024-08-05 10:04:13
4,sberbank/1072224243,СберБанк,"ул. Академика Книповича, 24, Мурманск",,"'mon': 10:00-18:30, 'tue': 10:00-18:30, 'wed': 10:00-18:30, 'thu': 10:00-18:30, 'fri': 10:00-18:30, 'sat': 10:30-16:00, 'sun': выходной, ",68.960255,33.083868,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,78,50,86,,,2024-08-05 10:04:13
5,sberbank/1108225319,СберБанк,"просп. Героев-Североморцев, 62, Мурманск",,"'mon': 09:30-18:00, 'tue': 09:30-18:00, 'wed': 09:30-18:00, 'thu': 09:30-18:00, 'fri': 09:30-18:00, 'sat': 10:00-17:30, 'sun': выходной, ",69.007599,33.097484,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,58,,82,,,2024-08-05 10:04:13
6,sberbank/1112674191,СберБанк,"ул. Юрия Гагарина, 4, Мурманск",,"'mon': 10:00-18:15, 'tue': 10:00-18:15, 'wed': 10:00-18:15, 'thu': 10:00-18:15, 'fri': 10:00-18:15, 'sat': выходной, 'sun': выходной, ",68.994083,33.100861,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-08-05 10:04:13
7,sberbank/1141049783,СберБанк,"ул. Аскольдовцев, 25, корп. 2, Мурманск",,"'mon': 10:00-18:15, 'tue': 10:00-18:15, 'wed': 10:00-18:15, 'thu': 10:00-18:15, 'fri': 10:00-18:15, 'sat': выходной, 'sun': выходной, ",69.002233,33.077532,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",92,69,41,77,58,,2024-08-05 10:04:13
8,sberbank/238450702534,СберБанк,"Кольский просп., 70, Мурманск",,"'mon': 09:45-17:30, 'tue': 09:45-17:30, 'wed': 09:45-17:30, 'thu': 09:45-17:30, 'fri': 09:45-17:30, 'sat': выходной, 'sun': выходной, ",68.936220,33.107203,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,53,,,,,2024-08-05 10:04:13
9,sberbank/1097418999,СберБанк,"ул. Адмирала Флота Лобова, 19, Мурманск",,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': выходной, 'sun': выходной, ",69.016858,33.098319,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,69,,,,,2024-08-05 10:04:13
