,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Отношение к клиентам,Персонал,Время ожидания,Расположение,Банкомат,load_time
13,1115756787,СберБанк,"ул. Терешковой, 2А, Улан-Удэ",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-16:00, 'sun': выходной",C51.80948,107.59947,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",74,70,84,63,91,,2024-06-22 15:55:45
14,1326060402,СберБанк,"ул. Терешковой, 11, Улан-Удэ",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",C51.80882,107.61325,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",73,,80,,,,2024-06-22 15:55:45
15,30566534950,СберБанк,"ул. Ленина, 15А, Улан-Удэ",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",C51.82541,107.58450,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sber']",71,73,,75,,,2024-06-22 15:55:45
16,1263737750,СберБанк,"Кабанская ул., 13Б, Улан-Удэ",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-16:00, 'sun': выходной",C51.84383,107.51706,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",74,79,82,38,,,2024-06-22 15:55:45
17,1031339583,СберБанк,"просп. Победы, 10, Улан-Удэ",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': выходной, 'sun': выходной",C51.82798,107.59262,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,90,83,60,,15,2024-06-22 15:55:45
18,226321357893,СберБанк,"ул. Маршала Жукова, 7А, городок Сосновый Бор, Улан-Удэ",www.sberbank.ru,"'mon': 08:45-13:00,13:45-17:00, 'tue': 08:45-13:00,13:45-17:00, 'wed': 08:45-13:00,13:45-17:00, 'thu': 08:45-13:00,13:45-17:00, 'fri': выходной, 'sat': выходной, 'sun': выходной",C51.85137,107.90577,"3,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-06-22 15:55:45
19,152606978640,СберБанк,"ул. Терешковой, 3, Улан-Удэ",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",C51.80856,107.60493,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sber']",,,,,,,2024-06-22 15:55:45
20,97005229106,СберБанк,"Юбилейная ул., 4, п. г. т. Онохой",www.sberbank.ru,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной",C51.92800,108.06744,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-06-22 15:55:45
21,1124145301,СберБанк,"ул. Лебедева, 3, село Иволгинск",www.sberbank.ru,"'mon': 09:00-17:00, 'tue': 09:00-17:00, 'wed': 09:00-17:00, 'thu': 09:00-17:00, 'fri': 09:00-17:00, 'sat': выходной, 'sun': выходной",C51.74497,107.27275,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-06-22 15:55:45
22,160746507891,СберБанк,"Коммунистическая ул., 51, село Ильинка",www.sberbank.ru,"'mon': выходной, 'tue': 09:00-12:30,13:30-17:00, 'wed': 09:00-12:30,13:30-17:00, 'thu': 09:00-12:30,13:30-17:00, 'fri': 09:00-12:30,13:30-16:45, 'sat': выходной, 'sun': выходной",C52.12326,107.27009,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-06-22 15:55:45
23,46896009667,СберБанк,"Коммунистическая ул., 75, село Кома",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': 10:00-13:00,14:00-17:30, 'sun': выходной",C52.16476,107.49366,"2,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-06-22 15:55:45
