,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Ипотека,Кредит,Банкомат,Расположение,График работы,Ремонт,load_time
0,sberbank/1548020347,СберБанк,"ул. Ленина, 381, Ставрополь",www.sberbank.ru,"'mon': 08:00-19:00, 'tue': 08:00-19:00, 'wed': 08:00-19:00, 'thu': 08:00-19:00, 'fri': 08:00-19:00, 'sat': 10:00-16:00, 'sun': 10:00-14:00, ",45.036311,41.933681,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",77,66,57,60,95,86,92,,2024-08-05 18:58:48
1,sberbank/191067855708,СберБанк,"ул. Мира, 286, Ставрополь",www.sberbank.ru,"'mon': 08:30-19:00, 'tue': 08:30-19:00, 'wed': 08:30-19:00, 'thu': 08:30-19:00, 'fri': 08:30-19:00, 'sat': 08:30-15:00, 'sun': выходной, ",45.036828,41.966136,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber', 'https://vk.com/sber']",84,72,,,68,100,,87,2024-08-05 18:58:48
2,sberbank/1124415763,СберБанк,"ул. Доваторцев, 13, Ставрополь",www.sberbank.ru,"'mon': 08:00-18:00, 'tue': 08:00-18:00, 'wed': 08:00-18:00, 'thu': 08:00-18:00, 'fri': 08:00-18:00, 'sat': выходной, 'sun': выходной, ",45.024183,41.933717,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,57,,,75,100,,,2024-08-05 18:58:48
3,sberbank/1098705252,СберБанк,"ул. Ленина, 415А, Ставрополь",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-14:30, 'sun': выходной, ",45.037171,41.922389,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,73,,,,,,,2024-08-05 18:58:48
4,sberbank/1663426158,СберБанк,"ул. 50 лет ВЛКСМ, 2/5, Ставрополь",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",45.018519,41.926323,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sber']",80,64,,,,92,,,2024-08-05 18:58:48
5,sberbank/1043452494,СберБанк,"ул. Доваторцев, 49Б, Ставрополь",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-14:30, 'sun': выходной, ",45.010433,41.928686,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,77,,,,,,,2024-08-05 18:58:48
6,sberbank/1673989464,СберБанк,"ул. 50 лет ВЛКСМ, 109, Ставрополь",www.sberbank.ru,"'mon': 08:30-19:00, 'tue': 08:30-19:00, 'wed': 08:30-19:00, 'thu': 08:30-19:00, 'fri': 08:30-19:00, 'sat': 09:00-15:30, 'sun': 09:00-13:00, ",44.999389,41.919155,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,66,,,68,95,70,,2024-08-05 18:58:48
7,sberbank/1551222679,СберБанк,"ул. Тухачевского, 26/2, Ставрополь",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-16:00, 'sun': выходной, ",45.015843,41.902976,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,32,,,25,95,,,2024-08-05 18:58:48
8,sberbank/213237996464,СберБанк,"ул. Пирогова, 42/1, Ставрополь",www.sberbank.ru,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 08:30-14:00, 'sun': выходной, ",45.008273,41.913505,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,57,,,100,100,64,,2024-08-05 18:58:48
9,sberbank/1056019355,СберБанк,"просп. Юности, 7Г, Ставрополь",www.sberbank.ru,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 08:30-14:00, 'sun': 09:00-12:00, ",45.060593,41.929908,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,70,,,88,92,,,2024-08-05 18:58:48
10,sberbank/90922121884,СберБанк,"просп. Карла Маркса, 52, Ставрополь",www.sberbank.ru,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:00-15:30, 'sun': выходной, ",45.048858,41.983717,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,58,,,,,,,2024-08-05 18:58:48
11,sberbank/1039165538,СберБанк,"площадь Ленина, 1, Ставрополь",www.sberbank.ru,"'mon': 08:15-17:00, 'tue': 08:15-17:00, 'wed': 08:15-17:00, 'thu': 08:15-17:00, 'fri': 08:15-17:00, 'sat': выходной, 'sun': выходной, ",45.043228,41.967826,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-08-05 18:58:48
12,sberbank/1053541612,СберБанк,"Октябрьская ул., 186/1, Ставрополь",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-15:30, 'sun': выходной, ",45.073331,41.940616,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,63,,,17,100,,,2024-08-05 18:58:48
13,sberbank/140930424988,СберБанк,"пр. Черняховского, 8, Ленинский район, микрорайон № 9, Ставрополь",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",45.028101,41.975183,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,73,,,,,,,2024-08-05 18:58:48
14,sberbank/1059945412,СберБанк,"ул. Маяковского, 1, Ленинский район, микрорайон № 6, Ставрополь",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",45.040808,41.985028,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,68,,,88,90,,,2024-08-05 18:58:48
15,sberbank/1028204229,СберБанк,"ул. Бурмистрова, 65Б, Ставрополь",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",45.063311,41.981758,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,61,,,75,91,,,2024-08-05 18:58:48
16,sberbank/1114956713,СберБанк,"ул. Ленина, 104, Ставрополь",www.sberbank.ru,"'mon': 09:00-17:30, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': 09:00-15:00, 'sun': выходной, ",45.041974,41.994775,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,68,,,,,,,2024-08-05 18:58:48
17,sberbank/1671846793,СберБанк,"ул. Серова, 472/1, Ставрополь",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",45.033732,42.021294,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,80,,,,,,,2024-08-05 18:58:48
18,sberbank/1196874648,СберБанк,"Вокзальная ул., 28, Ставрополь",www.sberbank.ru,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной, ",45.057123,41.997884,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sber']",79,73,,,10,,,,2024-08-05 18:58:48
19,sberbank/15896630637,СберБанк,"ул. Доваторцев, 49Б, Ставрополь",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-16:45, 'sat': выходной, 'sun': выходной, ",45.010433,41.928686,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-08-05 18:58:48
20,sberbank/1173987527,СберБанк,"ул. Ленина, 121, Михайловск",www.sberbank.ru,"'mon': 08:00-18:30, 'tue': 08:00-18:30, 'wed': 08:00-18:30, 'thu': 08:00-18:30, 'fri': 08:00-18:30, 'sat': 08:00-15:30, 'sun': 09:00-13:00, ",45.131473,42.026664,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",79,50,,36,35,85,,,2024-08-05 18:58:48
21,sberbank/1778903138,СберБанк,"ул. Войкова, 391, Михайловск",www.sberbank.ru,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 08:30-14:30, 'sun': выходной, ",45.126818,42.032217,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",93,72,,,80,80,,,2024-08-05 18:58:48
22,sberbank/1121451499,СберБанк,"ул. Ленина, 28, хутор Дёмино",www.sberbank.com,"'mon': выходной, 'tue': 08:00-15:00, 'wed': 08:00-15:00, 'thu': 08:00-15:00, 'fri': 08:00-15:00, 'sat': выходной, 'sun': выходной, ",44.983906,42.029630,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-08-05 18:58:48
23,sberbank/1011283768,СберБанк,"Казачья ул., 10, село Татарка",www.sberbank.com,"'mon': выходной, 'tue': 08:30-15:30, 'wed': 08:30-15:30, 'thu': 08:30-15:30, 'fri': 08:30-15:30, 'sat': выходной, 'sun': выходной, ",44.960822,41.945108,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-08-05 18:58:48
