,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Обслуживание,Отношение к клиентам,Время ожидания,load_time
0,1204325228,СберБанк,"ул. Павлика Морозова, 6, Шарья",www.sberbank.ru,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-14:00, 'sun': выходной",58.368960,45.519854,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,74,75,64,2024-06-22 18:02:08
1,1060322335,СберБанк,"ул. имени 50-летия Советской Власти, 27, Шарья",www.sberbank.ru,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной",58.383833,45.509071,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",75,80,75,,2024-06-22 18:02:08
2,1090069811,СберБанк,"Садовая ул., 20, п. г. т. Ветлужский",www.sberbank.ru,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 09:00-13:00, 'sun': выходной",58.389644,45.467051,"4,4",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],93,93,92,,2024-06-22 18:02:08
