,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Расположение,Банкомат,Кредит,Ипотека,График работы,load_time
10,sberbank/1099814912,СберБанк,"просп. Строителей, 122, Пенза",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:30, 'sun': выходной, ",53.221436,44.899379,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,85,100,85,,,,2024-07-29 13:56:43
11,sberbank/1067240892,СберБанк,"ул. Кижеватова, 8, Пенза",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-14:00, 'sun': выходной, ",53.166068,44.979275,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,60,,19,,,,2024-07-29 13:56:43
12,sberbank/1076232722,СберБанк,"ул. Аустрина, 152А, Пенза",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:00, 'sun': выходной, ",53.244527,45.014004,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",94,66,87,75,,,100,2024-07-29 13:56:43
13,sberbank/1084112273,СберБанк,"просп. Строителей, 40, Пенза",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-14:00, 'sun': выходной, ",53.221694,44.926670,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,75,100,59,,,,2024-07-29 13:56:43
14,sberbank/1085688217,СберБанк,"ул. Гагарина, 9, Пенза",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:30, 'sun': выходной, ",53.222940,45.000026,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",77,47,,,,,,2024-07-29 13:56:43
15,sberbank/41932516950,СберБанк,"Ново-Терновская ул., 1, село Засечное",www.sberbank.com,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 08:30-14:30, 'sun': выходной, ",53.132363,45.022744,"4,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,83,,69,,,,2024-07-29 13:56:43
16,sberbank/91690939405,СберБанк,"ул. Карпинского, 37, Пенза",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",53.210280,44.979445,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,56,100,45,,,,2024-07-29 13:56:43
17,sberbank/76583007982,СберБанк,"ул. Терновского, 160Б, Пенза",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",53.142346,45.023589,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,72,100,64,,,,2024-07-29 13:56:43
18,sberbank/1713140640,СберБанк,"Коммунистическая ул., 36А, Пенза",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:00, 'sun': выходной, ",53.210188,44.991142,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-07-29 13:56:43
19,sberbank/1098302711,СберБанк,"Коннозаводская ул., 25/1, Пенза",www.sberbank.com,"'mon': выходной, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': 09:00-16:15, 'sun': выходной, ",53.172227,45.111408,"3,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-07-29 13:56:43
20,sberbank/1129848412,СберБанк,"Планетная ул., 1, Пенза",www.sberbank.com,"'mon': выходной, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': 08:30-15:45, 'sun': выходной, ",53.175914,45.038034,"2,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-07-29 13:56:43
21,sberbank/1326857915,СберБанк,"Комсомольская ул., 1А, Заречный",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:30, 'fri': 09:00-18:00, 'sat': 09:00-13:00, 'sun': выходной, ",53.192544,45.178126,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,70,,,,,,2024-07-29 13:56:43
22,sberbank/1092089447,СберБанк,"ул. Ленина, 65, Заречный",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",53.202766,45.152578,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",77,67,,,,,,2024-07-29 13:56:43
23,sberbank/3800859896,СберБанк,"Школьная ул., 48, железнодорожная станция Леонидовка",www.sberbank.com,"'mon': 08:00-17:15, 'tue': 08:00-17:15, 'wed': 08:00-17:15, 'thu': 08:00-17:15, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",53.127452,45.228809,"3,9",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-07-29 13:56:43
