,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,load_time
0,sberbank/1302733702,СберБанк,"ул. Шейха Али Митаева, 12, Грозный",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-17:00, 'sun': выходной, ",43.324184,45.695924,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",72,39,70,95,2024-08-04 23:29:33
1,sberbank/1616285285,СберБанк,"просп. В.В. Путина, 1/82, Грозный",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",43.324498,45.680339,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",63,46,50,,2024-08-04 23:29:33
2,sberbank/80726848900,СберБанк,"ул. Вахи Алиева, 88Б, Грозный",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",43.341076,45.660261,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,61,,,2024-08-04 23:29:33
3,sberbank/1601749340,СберБанк,"ул. Дьякова, 21, Грозный",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-18:00, 'sun': выходной, ",43.321128,45.734094,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,69,73,100,2024-08-04 23:29:33
4,sberbank/165432749409,СберБанк,"просп. Ахмат-Хаджи Абдулхамидовича Кадырова, 37, Грозный",,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной, ",43.309681,45.701835,"3,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-04 23:29:33
5,sberbank/1639795072,СберБанк,"ул. А.А. Айдамирова, 200, Грозный",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",43.348274,45.693194,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,50,,,2024-08-04 23:29:33
6,sberbank/169702763770,СберБанк,"ул. А.А. Кадырова, 119, Шали",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",43.151662,45.901943,"4,0",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,2024-08-04 23:29:33
7,sberbank/1651204832,СберБанк,"Каланчакская ул., 33, Урус-Мартан",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",43.126979,45.542707,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",92,9,,,2024-08-04 23:29:33
8,sberbank/82799828973,СберБанк,"Шоссейная ул., 110А, Аргун",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",43.292341,45.865804,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-04 23:29:33
9,sberbank/24890934517,СберБанк,"Почтовая ул., 3, Ачхой-Мартан",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",43.195167,45.281967,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,2024-08-04 23:29:33
