,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Отношение к клиентам,Персонал,Время ожидания,Банкомат,График работы,Расположение,load_time
14,1067545952,СберБанк,"ул. Котовского, 14, село Котово",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': 08:15-14:00,14:30-15:32, 'thu': 08:15-14:00,14:30-15:30, 'fri': выходной, 'sat': выходной, 'sun': выходной",51.298560,37.993545,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-06-22 13:50:52
15,108807408870,СберБанк,"ул. Ленина, 231, село Городище",www.sberbank.ru,"'mon': 08:00-13:00,13:30-17:40, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': 14:30-17:40, 'sat': выходной, 'sun': выходной",51.137872,38.064502,"3,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-06-22 13:50:52
16,223698727907,СберБанк,"Центральная ул., 12, село Солдатское",www.sberbank.ru,"'mon': выходной, 'tue': 08:15-12:00,12:30-17:40, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",51.160698,38.123953,"3,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-06-22 13:50:52
17,71710755498,СберБанк,"Покровская площадь, 2, село Волоконовка",www.sberbank.ru,"'mon': 08:15-12:00,12:30-15:27, 'tue': выходной, 'wed': 08:15-12:00,12:30-15:27, 'thu': выходной, 'fri': 08:15-12:00,12:30-14:30, 'sat': выходной, 'sun': выходной",51.052309,37.863325,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-06-22 13:50:52
18,6896976673,СберБанк,"Молодёжная ул., 11, село Ивановка",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': 08:00-13:00,13:30-14:34, 'fri': выходной, 'sat': выходной, 'sun': выходной",51.102944,37.856740,"3,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-06-22 13:50:52
19,1198999812,СберБанк,"Центральная ул., 2, село Орлик",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",51.063382,37.703568,"3,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-06-22 13:50:52
20,188767051453,СберБанк,"Садовая ул., 86, село Дмитриевка",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': 08:15-12:00,12:30-17:43, 'thu': 08:15-12:00,12:30-17:45, 'fri': выходной, 'sat': выходной, 'sun': выходной",51.220810,38.121465,"3,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-06-22 13:50:52
21,154764687971,СберБанк,"Садовая ул., 1, село Малотроицкое",www.sberbank.ru,"'mon': 08:30-13:00,13:30-16:00, 'tue': 08:30-13:00,13:30-16:52, 'wed': 08:30-13:00,13:30-16:52, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",51.038956,38.032397,"3,9",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,,,2024-06-22 13:50:52
22,1266266674,СберБанк,"Центральная ул., 47, село Сапрыкино",www.sberbank.ru,"'mon': 08:45-12:30,13:00-16:15, 'tue': выходной, 'wed': выходной, 'thu': 08:45-12:04, 'fri': выходной, 'sat': выходной, 'sun': выходной",51.125675,37.631973,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-06-22 13:50:52
23,1043650920,СберБанк,"Центральная ул., 198, село Ольшанка",www.sberbank.ru,"'mon': 08:00-13:00,13:30-15:15, 'tue': выходной, 'wed': выходной, 'thu': 08:00-13:00,13:30-15:15, 'fri': выходной, 'sat': выходной, 'sun': выходной",51.006951,37.662659,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-06-22 13:50:52
