,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,load_time
0,sberbank/1016886632,СберБанк,"Сиверсова ул., 16, Вышний Волочёк",www.sberbank.ru,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 09:00-14:00, 'sun': выходной, ",57.584873,34.563534,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,57,48,2024-08-06 01:16:41
1,sberbank/1054198092,СберБанк,"ул. Победы, 30, посёлок Березайка",www.sberbank.ru,"'mon': 08:00-15:45, 'tue': 08:00-15:45, 'wed': 08:00-15:45, 'thu': 08:00-15:45, 'fri': 08:00-15:30, 'sat': выходной, 'sun': выходной, ",57.987690,33.899077,"3,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,2024-08-06 01:16:41
2,sberbank/1047232414,СберБанк,"ул. Кирова, 39А, п. г. т. Красномайский",www.sberbank.com,"'mon': выходной, 'tue': 08:30-16:45, 'wed': 08:30-16:45, 'thu': 08:30-16:45, 'fri': 08:30-16:45, 'sat': выходной, 'sun': выходной, ",57.629778,34.430512,"3,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,2024-08-06 01:16:41
3,sberbank/1090144032,СберБанк,"Советская ул., 2А, п. г. т. Куженкино",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",57.723536,33.972352,"2,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,2024-08-06 01:16:41
4,sberbank/1008552738,СберБанк,"площадь Ленина, 6, Бологое",www.sberbank.ru,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 09:00-14:00, 'sun': выходной, ",57.884794,34.054952,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",92,61,32,2024-08-06 01:16:41
5,sberbank/1019524289,СберБанк,"Московская ул., 2А, село Едрово",,"'mon': 09:00-15:25, 'tue': выходной, 'wed': 09:00-15:25, 'thu': выходной, 'fri': 09:00-15:25, 'sat': выходной, 'sun': выходной, ",57.913223,33.620070,"3,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,2024-08-06 01:16:41
6,sberbank/1016019798,Сбербанк России,"Советская ул., 7, п. г. т. Озёрный",,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной, ",57.871323,33.690748,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,2024-08-06 01:16:41
